s11yc,s11yk,s11ys,s11zg,s11jj,s11jw,id
50,23,27,130,3,10,s2566
53,24,21,145,4,8.5,s2567
40,15,18,130,3,5.5,s2568
49,20,20,140,3.5,9,s2569
50,20,20,145,4,9.5,s2570
50,23,18,135,3.5,9,s2571
43,19,21,115,3,8,s2572
50,22,19,140,4,10,s2573
50,23,19,120,3.5,8,s2574
50,21,20,130,3,10,s2575
37,16,17,110,3.5,6,s2576
43,17,20,120,3,8,s2577
50,24,20,125,4,6,s2578
35,12,21,130,4,5.5,s2579
49,24,21,135,4,8.5,s2580
44,20,19,135,3.5,9,s2581
42,20,21,130,3,8.5,s2582
33,13,20,120,3.5,6,s2583
50,23,19,135,3,7,s2584
44,20,26,135,4,6,s2585
55,22,23,135,3,9,s2586
53,22,23,135,3,8.5,s2587
43,19,23,140,4,7,s2588
40,16,22,135,4,8,s2589
42,18,20,125,3,7.5,s2590
45,17,18,115,3,7,s2591
52,22,22,130,3.5,9,s2592
43,20,21,130,3,6.5,s2593
50,24,24,130,3,9,s2594
42,16,28,135,3,8,s2595
50,24,21,130,3,9.5,s2596
45,20,22,130,4,9,s2597
52,24,24,150,3,10,s2598
32,13,14,115,3,5,s2599
50,22,16,145,3,9,s2600
60,27,18,130,8,8,s2601
45,17,19,125,6,6,s2602
45,20,13,65,4,6,s2603
45,21,18,135,5,8,s2604
50,23,22,140,4,8,s2605
48,20,21,120,4,8,s2606
40,13,18,95,4,5,s2607
50,23,19,125,4,8,s2608
43,16,18,120,4,6.5,s2609
40,14,19,120,4,6,s2610
49,23,18,130,4,7.5,s2611
45,20,17,120,6,6,s2612
52,21,19,150,5,8,s2613
51,24,18,120,5,8,s2614
55,28,20,125,5,8,s2615
59,25,19,135,5,8.5,s2616
60,28,19,140,5,9.5,s2617
53,23,21,140,5,8,s2618
58,28,21,150,5,9,s2619
42,22,18,120,4,8,s2620
50,24,20,120,4.5,8.5,s2621
47,23,20,135,5,7.5,s2622
49,18,19,135,5,7,s2623
53,24,17,120,5,8,s2624
54,25,21,125,5,9,s2625
52,20,22,120,5,8,s2626
51,23,20,135,6,8,s2627
56,24,19,135,5,8,s2628
55,23,22,135,5,9,s2629
50,23,22,135,5,8,s2630
49,22,23,150,5,9,s2631
41,17,16,130,5,7,s2632
52,18,20,135,5,7,s2633
53,19,19,135,4,8,s2634
52,19,19,130,5,8,s2635
56,26,17,125,5,8,s2636
46,16,22,115,6,5,s2637
60,28,20,130,6,9,s2638
53,23,22,140,6,8,s2639
60,27,21,150,6,8,s2640
58,28,20,130,4.5,9,s2641
53,24,19,130,5,7,s2642
36,13,23,120,5,6,s2643
47,22,22,130,5,8,s2644
54,24,20,115,5,8,s2645
38,15,18,120,5,6,s2646
51,23,17,125,5,7,s2647
45,18,18,140,4,7,s2648
52,17,20,135,5,8,s2649
45,22,18,135,6,9,s2650
48,23,19,125,5,6,s2651
46,23,18,130,4,7.5,s2652
48,21,16,120,5,7,s2653
51,30,21,145,5,7.5,s2654
44,23,16,120,4.5,7,s2655
41,18,21,125,3,8,s2656
45,20,16,115,4,7,s2657
33,13,24,110,6,5,s2658
53,24,17,130,6,7,s2659
